DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             5.9463917
Formation Factor (ratio)                7.4331276
Cementation Factor (ratio)              2.0859349
pore density (1/um3)                    1.4e-06
Tortuosity (ratio)                      1.3053415
Average Coordination Number             4.857726
Average Throat Radius (um)              19.2425367
Average Pore Radius (um)                32.7879883
Average Throat Length (um)              90.3367308
Pore to Throat Aspect ratio             3.4543377
Specific Surface (1/um)                 0.0238243
Pore Sphericity (ratio)                 0.7882769
Grain Sphericity (ratio)                0.8148446
Average Grain Radius (um)               44.3329995
Relative Young Module (ratio)           0.0884955

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.7224923
0.02                                    2.0388093
0.03                                    1.8246263
0.04                                    1.82129
0.05                                    1.7364059
0.06                                    1.8377793
0.07                                    1.838075
0.08                                    1.7033503
0.09                                    1.8702357
0.1                                     1.9707642
0.11                                    1.8705885
0.12                                    1.667845
0.13                                    2.0084045
0.14                                    1.7577135
0.15                                    1.550841
0.16                                    2.1690444
0.17                                    1.8356464
0.18                                    1.7378989
0.19                                    1.6763144
0.2                                     2.0231775
0.21                                    1.5733347
0.22                                    1.6633142
0.23                                    1.4194628
0.24                                    1.8009828
0.25                                    2.070486
0.26                                    1.6784833
0.27                                    2.0579846
0.28                                    1.6928785
0.29                                    1.9062772
0.3                                     1.6668242
0.31                                    1.5346393
0.32                                    1.8579219
0.33                                    1.6632475
0.34                                    1.9106616
0.35                                    2.1348195
0.36                                    1.8062081
0.37                                    1.5150293
0.38                                    1.6262208
0.39                                    1.7987082
0.4                                     1.5811875
0.41                                    1.5530417
0.42                                    1.7523259
0.43                                    1.642524
0.44                                    1.1986074
0.45                                    1.2843545
0.46                                    1.3506549
0.47                                    1.6943607
0.48                                    1.6918283
0.49                                    1.6265538
0.5                                     1.4574529
0.51                                    1.4887177
0.52                                    1.9900946
0.53                                    2.0687931
0.54                                    1.797861
0.55                                    1.5782266
0.56                                    1.7210494
0.57                                    1.848702
0.58                                    1.6165907
0.59                                    1.6422462
0.6                                     1.4589888
0.61                                    1.7328257
0.62                                    1.9732835
0.63                                    1.5327799
0.64                                    1.4933141
0.65                                    1.5253762
0.66                                    1.133338
0.67                                    1.3213529
0.68                                    1.7621592
0.69                                    1.8946717
0.7                                     1.6943658
0.71                                    1.7141721
0.72                                    2.0383428
0.73                                    2.0658764
0.74                                    1.6792056
0.75                                    1.9272332
0.76                                    1.7548862
0.77                                    1.5380002
0.78                                    1.7493754
0.79                                    2.082026
0.8                                     2.109167
0.81                                    1.4010365
0.82                                    1.2217135
0.83                                    1.6897672
0.84                                    1.7275642
0.85                                    1.9296626
0.86                                    1.7480179
0.87                                    1.6540385
0.88                                    1.6939799
0.89                                    2.1795237
0.9                                     1.7256793
0.91                                    1.8642542
0.92                                    2.2613434
0.93                                    2.0543617
0.94                                    1.7442425
0.95                                    1.4360701
0.96                                    1.7824903
0.97                                    1.6966122
0.98                                    1.6411873
0.99                                    1.2599027
1.0                                     1.2445294


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.2262876
0.02                                    0.2143999
0.03                                    0.2745696
0.04                                    0.306167
0.05                                    0.2162401
0.06                                    0.1887241
0.07                                    0.2274818
0.08                                    0.2810297
0.09                                    0.2840409
0.1                                     0.2013734
0.11                                    0.2415793
0.12                                    0.2362403
0.13                                    0.2698449
0.14                                    0.2171555
0.15                                    0.2177744
0.16                                    0.3028746
0.17                                    0.1833233
0.18                                    0.2214082
0.19                                    0.2709569
0.2                                     0.3100081
0.21                                    0.243523
0.22                                    0.268703
0.23                                    0.255763
0.24                                    0.2427973
0.25                                    0.2935766
0.26                                    0.2221675
0.27                                    0.2315533
0.28                                    0.3315866
0.29                                    0.280437
0.3                                     0.2732803
0.31                                    0.2841745
0.32                                    0.222068
0.33                                    0.3524647
0.34                                    0.2729192
0.35                                    0.2399364
0.36                                    0.311449
0.37                                    0.3323774
0.38                                    0.3225293
0.39                                    0.2550047
0.4                                     0.2384243
0.41                                    0.1981755
0.42                                    0.2782659
0.43                                    0.2996557
0.44                                    0.3182241
0.45                                    0.3510308
0.46                                    0.3128534
0.47                                    0.3317778
0.48                                    0.2657027
0.49                                    0.34359
0.5                                     0.3558607
0.51                                    0.3324444
0.52                                    0.3507581
0.53                                    0.3692038
0.54                                    0.254633
0.55                                    0.3460697
0.56                                    0.3180752
0.57                                    0.3116055
0.58                                    0.2931204
0.59                                    0.4039135
0.6                                     0.33685
0.61                                    0.3618183
0.62                                    0.4619956
0.63                                    0.4048529
0.64                                    0.4510292
0.65                                    0.3668078
0.66                                    0.3368241
0.67                                    0.3951376
0.68                                    0.3895084
0.69                                    0.3342245
0.7                                     0.3847403
0.71                                    0.3348838
0.72                                    0.4147542
0.73                                    0.4458007
0.74                                    0.5335149
0.75                                    0.5315637
0.76                                    0.5292483
0.77                                    0.4407966
0.78                                    0.4941116
0.79                                    0.4923004
0.8                                     0.5687449
0.81                                    0.4534513
0.82                                    0.4650877
0.83                                    0.6035069
0.84                                    0.5079426
0.85                                    0.4354399
0.86                                    0.444
